Old Alias,Alias,Long Name,Definition,Data Type,Example Value,Remark
trgport,trgport,TargetPort,Target port number,port,1,
trgsercomponent,trgsvccpn,TargetServiceComponent,Target service component,string,1,
trgsername,trgsvcname,TargetServiceName,Target service/application name,string,1,
trgtranip,trgtranip,TargetTranslatedIP,Target translated/NAT IP,ip,,
trgtranmac,trgtranmac,TargetTranslatedMAC,Target translated MAC,string,,
trgtranport,trgtranport,TargetTranslatedPort,Target translated port,port,,
trgtrudomain,trgtrudomain,TargetTrustDomain,Target trust domain,string,,
trgtruid,trgtruid,TargetTrustID,Target trust ID,string,,
trgtruname,trgtruname,TargetTrustName,Target trust name,string,,
trguserdpt,trgudept,TargetUserDepartment,Target user department,string,1,
trguserdomain,trgudomain,TargetUserDomain,Target user domain,string,1,
trguserfullname,trgufullname,TargetUserFullName,Target user full name,string,,
trguserid,trguid,TargetUserID,Target user ID,string,,
trguserident,trguident,TargetUserIdentity,Target user identity ID,string,,
trgusername,trguname,TargetUserName,Target user name,string,1,
trguserwid,trguwid,TargetUserWorkforceID,Target user workforce/HR ID,string,,
evtgrpid,transactionid,TransactionID,Transaction/correlation identifier,string,,
vec,vec,VendorEventCode,Vendor event code,string,,
voc,voc,VendorOutcomeCode,Vendor outcome code,string,,
vul,vul,Vulnerability,Vulnerability list/details,array<string>,,arrStr
taxevtst,taxevtst,EventSourceType,Taxonomy: source type,int32,,integer
taxevtobj,taxevtobj,EventObject,Taxonomy: event object,int32,,integer
taxevtcon,taxevtcon,EventContext,Taxonomy: event context,int32,,integer
taxevtact,taxevtact,EventAction,Taxonomy: event action,int32,,integer
taxoutobj,taxoutobj,OutcomeObject,Taxonomy: outcome object,int32,,integer
taxoutcon,taxoutcon,OutcomeContext,Taxonomy: outcome context,int32,,integer
taxoutpro,taxoutpro,OutcomeProfile,Taxonomy: outcome profile,int32,,integer
corinfoid,corrinfoid,CorrelationInfoID,Correlation info identifier,string,1,
triggeredevt,triggeredevt,TriggeredEvent,Triggered event name/id,string,,
triggeredaction,triggeredact,TriggeredAction,Triggered action name/id,string,,
srciface,srciface,SourceInterface,Source interface name,string,1,
trgiface,trgiface,TargetInterface,Target interface name,string,1,
trgifacestatus,trgifacestatus,TargetInterfaceStatus,Target interface status,string,,
srcifacestatus,srcifacestatus,SourceInterfaceStatus,Source interface status,string,,
ppsthreshold,ppsthreshold,PacketPerSecondThreshold,Packets/s threshold used,int64,,
trafficdirection,trafficdirection,TrafficDirection,Traffic direction label (e.g., Inbound/Outbound),string,,
bandwidththreshold,bandwidththreshold,BandwidthThreshold,Bandwidth threshold used,int64,,
bandwidth,bandwidth,Bandwidth,Observed bandwidth (bytes/s unless noted),int64,,
pps,pps,PacketPerSecond,Observed packets per second,int64,,
,blsrc_*,BlacklistSource_*,Blacklist name → score (per entity),map<string,int32>,"{A:2,B:3}",Blacklist dynamicField
,blname_*,BlacklistName_*,Blacklist names (per entity),array<string>,"[A, B]",Blacklist dynamicField
,blscore_*,BlacklistScore_*,Blacklist scores (per entity),array<int32>,,Blacklist dynamicField
,rescpu_name,CPU Name,CPU names reported,array<string>,"cpu1,cpu2,cpu3",SNMP
,rescpu_util,CPU Utilization,Per-CPU utilization values,array<float64>,"85,18,49",SNMP
,rescpu_unit,CPU Utilization Unit,Unit for CPU utilization,string,percentage,SNMP
,rescpu_opct,Average CPU Utilization,Average CPU utilization,float64,87,SNMP
,resdis_name,Disk Name,Disk mount/label names,array<string>,"/var,/opt,/tmp",SNMP
,resdis_size,Disk Size,Disk sizes (units in resdis_unit),array<int64>,"213453,124543,543556",SNMP
,resdis_used,Disk Used,Disk used values,array<int64>,"12432,45353,253364",SNMP
,resdis_unit,Disk Size Unit,Unit for disk sizes,string,kbyte,SNMP
,resdis_util,Disk Usage Utilization,Disk usage percentages,array<float64>,"87,12,58",SNMP
,resdis_opct,Average Disk Utilization,Average disk utilization,float64,96,SNMP
,resnic_name,Network Interface Name,Network interface names,array<string>,"nic1,nic2,nic3",SNMP
,resnic_smax,Network Interface Max Packets,Per-NIC max packets allowed,array<int32>,"1000,1000,1000",SNMP
,resnic_tran,Network Interface Transmission Packets,Per-NIC transmitted packets,array<int64>,"800,192,102",SNMP
,resnic_recv,Network Interface Receive Packets,Per-NIC received packets,array<int64>,"192,392,291",SNMP
,resnic_adst,Network Interface Admin Status,Per-NIC admin status (1/0),array<boolean>,"1,1,1",SNMP
,resnic_opst,Network Interface Oper Status,Per-NIC operational status (1/0),array<boolean>,"1,0,1",SNMP
,resnic_util,Network Interface Utilization,Per-NIC utilization percentages,array<float64>,"90,50,40",SNMP
,resmem_name,RAM Name,Memory pool name,array<string>,memory1,SNMP
,resmem_size,RAM Size,Memory size values,array<int64>,32454323,SNMP
,resmem_used,RAM Used,Memory used values,array<int64>,2422245,SNMP
,resmem_unit,RAM Size Unit,Unit for memory size,string,kbyte,SNMP
,resmem_util,RAM Utilization,Memory utilization percentage,float64,74,SNMP
,resmem_opct,Average RAM Utilization,Average memory utilization,float64,74,SNMP
,cevtid,Correlation Event UUID,Correlation Event UUID attached to raw,string,30C11F20-2170-1033-95DF-000C293DBE11,SIEM-291 PoC on add triggered id to raw message
,collectionname,SOLR Collection Name,Solr/index collection name,string,Log-STWUTIL01-201912301315,SIEM-291 PoC on add triggered id to raw message
