description,query
Identify log entries for tenant D0034 where the source IP is 219.79.194.116.,tenantname:D0034 AND srcip:219.79.194.116
It searches for events in tenant M0001 where the target host is localveeamhksvr150 and the event originated from the source process/service named hksvr133.,"tenantname:M0001 AND trguname:localveeamhksvr150 AND srcname:""hksvr133"""
"Finds firewall events for tenant D0034 where a Palo Alto Next-Generation Firewall was involved, there is a defined source user, an outbound proxy operation succeeded, and a target domain is present.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srcuname:* AND taxoutpro:success AND trgdomain:*"
It finds security events for tenant M0001 where the destination (target) IP is 10.1.132.51.,tenantname:M0001 AND trgip:10.1.132.51
Looks for directory-traversal attack events detected by the MAGI parser for tenant D0034 coming from source IP 20.85.77.103.,"tenantname:D0034 AND parsertype:MAGI AND evt:""Directory Traversal Attack"" AND srcip:20.85.77.103"
Find blocked network events in tenant D0034 where Symantec Endpoint Security Protection detected traffic from 192.168.39.50 to 52.123.129.14.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND trgip:52.123.129.14 AND srcip:192.168.39.50"
"Retrieves logs for tenant M0001 that are not fully populated with the specified tax event/outcome fields (i.e., incomplete tax event data), and also excludes events from Microsoft Active Directory and Windows and from the host at IP 10.1.0.240.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT couname:10.1.0.240"
It filters for network events where the destination (target) IP address is 192.168.46.60.,trgip:192.168.46.60
Finds events for tenant D0034 associated with IP address 10.168.168.123.,tenantname:D0034 AND couip:10.168.168.123
"Finds log entries for tenant M0001, parsed by MAGI, that indicate multiple failed logon attempts (Kerberos or general) for the user lilizhong, while excluding certain admin accounts (itadmin, sladmin, shgadmin).","(tenantname:M0001 AND parsertype:MAGI AND ( evt:""Multiple Failed Logon using Kerberos"" OR evt:""Multiple Failed Logon Events"" ) AND NOT srcuname:itadmin AND NOT srcuname:sladmin AND NOT srcuname:shgadmin) AND srcuname:lilizhong"
"Identify allowed inbound or outbound connections for tenant D0034 from Symantec Endpoint Security Protection where the destination domain is yahoo.com.hk and has a blacklist score between 50 and 300, with a defined source-to-target domain relationship.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND ( evt:""Allowed Outbound connection"" OR evt:""Allowed Inbound connection"" )  AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND trgdomain:yaho.com.hk"
"It retrieves logs for tenant D0034 where the source is China or Hong Kong, the event severity is 3, and ErtFeed events are excluded.",tenantname:D0034 AND (srccountry:CHN OR srccountry:HKG) AND sev:3 NOT evt:ErtFeed
"Identifies allowed outbound connections from either Palo Alto Next-Generation Firewall or Symantec Endpoint Security Protection to .net domains, filtered by a specific IP pattern (IPsum equals 10).","pname:""Palo Alto Next\\-Generation Firewall"" OR pname:""Symantec Endpoint Security Protection"" AND trgdomain:*.net AND evt:""Allowed Outbound connection"" AND blsrc_trgip:""\\{""IPsum""\\:10\\}"""
"Identify events where Symantec Endpoint Security Protection on tenant D0034 shows allowed outbound or inbound connections to destinations with a target-domain risk score between 50 and 300, only when domain data exists, and exclude connections to Binance, page.dingtalk.com, and www.okx.com.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND ( evt:""Allowed Outbound connection"" OR evt:""Allowed Inbound connection"" )  AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND NOT trgdomain:*.binance.com AND NOT trgdomain:page.dingtalk.com AND NOT trgdomain:www.okx.com"
"Looks for inbound activity from China to tenant D0034 that isn’t tied to a broad set of common security events, in order to surface unusual or potentially hidden connections.","tenantname:D0034 AND srcip:* AND srccountry:CHN AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""A security session was closed"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:ErtFeed) AND (NOT evt:ConnectionPPS) AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:Access) AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:Anomaly) AND (NOT evt:""A security session was created"") AND (NOT evt:""Unauthorized HTTP Method"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""IPsec ESP"") AND (NOT evt:""Connection event logged at beginning of connection"") AND (NOT evt:""Access denied due to malicious request"") AND (NOT evt:""Progress IPsec phase 2"") AND (NOT evt:""IPsec phase 2 SA deleted"") AND (NOT evt:""IPsec SA installed"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:Bak后缀临时文件访问)"
"Finds security events for tenant D0034 where Radware DefensePro Anti-DDoS Protection was used and the outbound protection succeeded, originating from source IP 58.246.155.143 to any target IP.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND taxoutpro:success AND trgip:* AND srcip:58.246.155.143"
"It looks for security events for tenant D0034 from China, while excluding a wide range of routine or benign event types, so the results highlight unusual or noteworthy activity.","tenantname:D0034 AND srccountry:CHN AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""A security session was closed"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:ErtFeed) AND (NOT evt:ConnectionPPS) AND (NOT evt:Access) AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:Intrusions) AND (NOT evt:Anomaly) AND (NOT evt:""A security session was created"")"
It filters for logs coming from source IP 14.21.136.221 that are labeled as an Anomaly.,srcip:14.21.136.221 AND evt:Anomaly
"Identify log entries where the source IP is 81.69.175.50, the event concerns a Juniper SRX Firewall, and the destination/target IP is not 10.10.168 (exclude traffic aimed at that IP/subnet).","srcip:81.69.175.50 AND pname:""Juniper SRX Firewall"" AND NOT trgip:10.10.168"
"It targets moderate-severity events for tenant D0034 and excludes a long list of routine or known-non-issues (like update failures, malware definition problems, and various suspicious or benign-looking alerts), in order to surface only potentially unusual or security-related activity.","tenantname:D0034 AND sev:3 AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Packet Deny"") AND (NOT evt:""Networking Problem"") AND (NOT evt:ErtFeed) AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:ConnectionPPS) AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""Spyware detection"") AND (NOT evt:Intrusions) AND (NOT evt:""An update for SONAR Definitions failed to install"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""An update for Extended File Attributes and Signatures failed to install"") AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""CA\\-01\\: Detection of High Volume Access"") AND (NOT evt:""An update for Virus and Spyware Definitions SDS Win64 \\(Reduced\\) failed to install"") AND (NOT evt:""An update for Power Eraser Definitions failed to install"") AND (NOT evt:""An update for Endpoint Detection and Response failed to install"") AND (NOT evt:通用Webshell上传攻击) AND (NOT evt:感染coinminer家族挖矿) AND (NOT evt:""Suspicious Activities from Blacklisted IP Address"") AND (NOT evt:""Python Webshell上传"") AND (NOT evt:""CA\\-02\\: Detection of Mass Update Activities"") AND (NOT evt:服务器敏感文件访问) AND (NOT evt:""PHPUnit远程命令执行漏洞\\(CVE\\-2017\\-9841\\)"") AND (NOT evt:""PHP dirname函数代码注入"") AND (NOT evt:""Event time\\: 2025\\-06\\-13 15\\:05\\:06"") AND (NOT evt:""Event time\\: 2025\\-06\\-13 13\\:20\\:04"")"
"Filters for tenant D0034 where any parameter name ends with a single quote, signaling possible input tampering or injection attempts.",tenantname:D0034 AND pname:*'
"It looks for DoS-related events for tenant D0034 from the Radware DefensePro Anti-DDoS Protection product, specifically events categorized as DoS or Behavioral-DoS.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND (evt:DoS OR evt:Behavioral-DoS"""
Filters events that involve the IP address 10.1.12.32.,couip:10.1.12.32
Filters for events coming from the IP 47.92.125.19 that are classified with severity level 3.,srcip:47.92.125.19 AND sev:3
"Find logs for tenant D0034 from a Palo Alto Next-Generation Firewall where the destination is pcapp-data-collect.youku.com, there’s a defined source-to-target domain, the target-domain risk score is between 100 and 300, and the outbound process succeeded.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 300] AND taxoutpro:success AND trgdomain:""pcapp\\-data\\-collect.youku.com"""
Finds events where the target IP is 14.136.211.74 and the log includes a process name (any value).,trgip:14.136.211.74 AND pname:*
"Filters logs to show events where the destination or target domain is 15.taboola.com, i.e., traffic directed to Taboola’s domain.",trgdomain:15.taboola.com
It looks for logs where the event’s process name is Fortinet Fortiget and the severity level is 3.,"pname:""Fortinet Fortiget"" AND sev:3"
It searches for events in tenant D0034 where traffic is destined for 45.118.64.0 and originated from 192.168.24.69.,tenantname:D0034 AND trgip:45.118.64.0 AND srcip:192.168.24.69
"Identifies suspicious domain query events for tenant M0001 parsed by MAGI, excluding queries targeting common legitimate domains to surface unusual or potentially malicious destinations.","tenantname:M0001 AND parsertype:MAGI AND evt:""Suspicious Domain Query""  AND NOT trgdomain:www.bing.com AND NOT trgdomain:google.com  AND NOT trgdomain:ajax.googleapis.com AND NOT trgdomain:storage.googleapis.com  AND NOT trgdomain:mc.yandex.ru AND NOT trgdomain:d.agkn.com AND NOT trgdomain:r.search.yahoo.com AND NOT trgdomain:servedby.flashtalking.com AND NOT trgdomain:d3ag4hukkh62yn.cloudfront.net AND NOT trgdomain:track.adform.net AND NOT trgdomain:secure.adnxs.com"
Identifies DoS events associated with Radware DefensePro Anti-DDoS Protection where the taxoutpro flag is set to 1.,"pname:""Radware DefensePro Anti\\-DDoS Protection"" AND taxoutpro:1 AND evt:DoS"
"Returns all log entries regardless of their severity, using a wildcard to match any severity level.",sev:%
Retrieves security events for tenant D0034 with severity 4 that originated from China.,tenantname:D0034 AND sev:4 AND srccountry:CHN AND sev:4
"It searches for events with severity 2 from any country, excluding events that are classified as Access.",srccountry:* AND sev:2 NOT evt:Access
Identifies Symantec Endpoint Protection events for tenant D0034 but excludes a long list of common/benign messages so that only unusual or potentially significant security events remain.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:""The client has downloaded the content package successfully"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""The client has reconnected with the management server"") AND (NOT evt:""The client has downloaded the policy successfully"") AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""Web Attack\\: Webpulse Bad Reputation Domain Request attack blocked"") AND (NOT evt:""Internet Explorer Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Firefox Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:55\\:06"") AND (NOT evt:""Device Manager Message Disabled the device"")"
Identify logs generated by the Radware AppWall Web Application Firewall where the traffic is targeting the IP 10.168.168.144.,"pname:""Radware AppWall Web Application Firewall"" AND trgip:10.168.168.144"
Filters for events in tenant D0034 that originate from China and come from the IP address 81.69.175.50.,tenantname:D0034 AND srccountry:CHN AND srcip:81.69.175.50
Find all events where the source username field has a value.,srcuname:*
Show security events for tenant D0034 that have a defined pname (any value) and a severity level of 5.,tenantname:D0034 AND pname:* AND sev:5
"Retrieves logs for tenant D0034 where the output bytes fall between 1,000,000 and 8,943,750 and the traffic originates from 218.253.210.52.",tenantname:D0034 AND outputbytes:[1000000 TO 8943750] AND srcip:218.253.210.52
"Looks for URL-filtering events on the Palo Alto firewall for tenant M0001 where users tried to visit yinxiang.com, while ignoring hits to a set of other domains (like certain adult sites and popular services).","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:youporn.com AND NOT trgdomain:bcgame.li AND NOT obssvccpn:adult  AND NOT trgdomain:backblaze.com AND NOT trgdomain:coinbase.com AND trgdomain:yinxiang.com"
It retrieves logs from tenant D0034 that have severity 5 and are not of parse type MAGI.,tenantname:D0034 AND NOT parsertype:MAGI AND sev:5
Targets logs for tenant D0034 from public (non-private) IP addresses and filters out a wide set of routine or benign events to surface unusual or potentially malicious external activity.,"tenantname:D0034 AND NOT (srcip:192.*.*.* OR srcip:10.*.*.* OR srcip:172.*.*.*) NOT taxevtst:siem AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:ErtFeed) AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""A security session was closed"") AND (NOT evt:""Networking Problem"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:Access) AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""FortiGuard hostname unresolvable"") AND (NOT evt:""Display CMD Record\\(s\\)"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""url\\-cloud\\-connection\\-failure"") AND (NOT evt:""Connection event logged at beginning of connection"") AND (NOT evt:Anomalies) AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""A security session was created"") AND (NOT evt:""cloud\\-election"") AND (NOT evt:""System performance statistics"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:Intrusions) AND (NOT evt:""The client has downloaded the content package successfully"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:ConnectionPPS) AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:Anomaly) AND (NOT evt:""session start"") AND (NOT evt:""session end\, TCP RST"") AND (NOT evt:""Session Ended"") AND (NOT evt:STREAM) AND (NOT evt:""EDL\\(pablacklist.txt\\) EDL file was not updated at remote end"") AND (NOT evt:""sent a dhcpack packet successfully"") AND (NOT evt:""received a request packet"") AND (NOT evt:""EDL\\(pablacklistdns\\) No"") AND (NOT evt:""EDL\\(pablacklistdns\\) EDL file was not updated at remote end"") AND (NOT evt:""EDL\\(pablacklist.txt\\) No"") AND (NOT evt:""upgrade\\-url\\-database\\-success"") AND (NOT evt:""Threat feed update failed"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""Access denied due to malicious request"")"
Filters logs from a Palo Alto Next-Generation Firewall where the destination IP is 146.75.46.172 and the source IP is 192.168.40.63.," pname:""Palo Alto Next\\-Generation Firewall"" AND trgip:146.75.46.172  AND srcip:192.168.40.63"
"Finds tenant M0001 firewall logs that show traffic to xnxx.com through the Palo Alto firewall, excluding MAGI parser logs, session-related events, and traffic to a set of other domains.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND trgdomain:xnxx.com"
Find log entries for tenant D0034 that originated from China and have a severity level of 5.,tenantname:D0034 AND srccountry:CHN AND sev:5
"It filters for events where the source IP is 192.168.40.218, the destination domain is edgedl.me.gvt1.com, and the device is identified as a Palo Alto Next-Generation Firewall.","pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:edgedl.me.gvt1.com AND srcip:192.168.40.218"
"Looks for events where a command to display system information was issued, but filters out a long list of common, benign display commands to surface unusual or potentially sensitive disclosures.","evt:""Display CMD Record\\(s\\)"" AND (NOT trgattval:""display ips\\-engine information"") AND (NOT trgattval:""display ike offline\\-info"") AND (NOT trgattval:""display ike error\\-info verbose"") AND (NOT trgattval:""display engine statistics system"") AND (NOT trgattval:""display engine memory all"") AND (NOT trgattval:""display ipsec message statistics"") AND (NOT trgattval:""display interface GigabitEthernet0\\/0\\/0"") AND (NOT trgattval:""display health"") AND (NOT trgattval:""display firewall session statistics all\\-systems"") AND (NOT trgattval:""display diagnostic\\-information hf\\-log"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/5"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/4"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/3"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/2"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/1"") AND (NOT trgattval:""display ipsec statistics"") AND (NOT trgattval:""display firewall statistic sys normal"") AND (NOT trgattval:""display firewall statistic sys error"") AND (NOT trgattval:""display firewall statistic sys discard"") AND (NOT trgattval:""display firewall ipv6 session statistics all\\-systems"") AND (NOT trgattval:""display firewall statistics system normal"") AND (NOT trgattval:""display firewall statistics system last\\-second"") AND (NOT trgattval:""display firewall statistics system error"") AND (NOT trgattval:""display firewall statistics system discard"") AND (NOT trgattval:""display firewall ipv6 statistics system"")"
Look for activity in tenant D0034 where the Sangfor_CyberCommand process ran and came from a source IP outside the 192.*.*.* range.,"tenantname:D0034 AND pname:""Sangfor_CyberCommand"" AND srcip:* NOT srcip:192.*.*.*"
"Finds logs for tenant D0034 where Symantec Endpoint Security Protection was involved, with activity originating from 192.168.12.40 and a known target IP and target domain.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND blsrc_trgdomain:* AND srcip:192.168.12.40"
It finds events from source IP 47.237.129.22 where a process name is recorded (any process).,srcip:47.237.129.22 AND pname:*
"Identify URL filtering events from the Palo Alto firewall for tenant M0001 that involve any domain, excluding traffic to onlyfans.com, backblazeb2.com, youporn.com, and bcgame.li.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:youporn.com AND NOT trgdomain:bcgame.li"
"Find outbound connections from tenant M0001’s Palo Alto firewall to the domain x.js, requiring a source IP, while excluding normal session starts/ends and routine update/registry events to surface potentially suspicious activity.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT evt:""Session Started"" AND NOT evt:""Session Ended"" AND NOT parsertype:MAGI AND NOT evt:""Connection to Update server"" AND NOT evt:""send\\-success"" AND NOT evt:""connect\\-ldap\\-sever"" AND NOT evt:""Request made to server ""app\\-registry\\-service.apps.paloaltonetworks.com"" is successful "" AND NOT evt:""upgrade\\-url\\-database\\-success"" AND NOT evt:""Auto update"" AND blsrc_srcip:* AND trgdomain:x.js"
Finds security logs for tenant D0034 where the product is Fortinet Fortigate and the source IP is 192.168.107.7.,"tenantname:D0034 AND pname:""Fortinet Fortigate"" AND couip:192.168.107.7"
"Show logs from IP 10.0.60.25 that include a log parsing error, specifically mentioning NullPointerException.",parselogerror:* AND parselogerror:*NullPointerException* AND couip:10.0.60.25
"It filters for traffic in tenant D0034 where the source is 192.168.47.180, the destination is 204.79.197.203, and the logs come from a Palo Alto Next-Generation Firewall.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srcip:192.168.47.180 AND trgip:204.79.197.203"
Find security events for tenant D0034 originating from China or Hong Kong with severity level 6.,tenantname:D0034 AND (srccountry:CHN OR srccountry:HKG) AND sev:6
"Finds firewall activity for tenant M0001 from Palo Alto Next-Generation Firewall, excluding MAGI-parsed results and session-based events, filtering out a list of restricted domains (mostly adult sites and similar) and focusing on traffic to bcgame.li.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND trgdomain:bcgame.li"
"It searches for anti-scanning alerts in tenant D0034 from Radware DefensePro Anti-DDoS Protection, excluding any events coming from source IP 89.248.163.68.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND evt:""Anti-Scanning"" AND NOT srcip:89.248.163.68"
It filters for events from tenant D0034 that have a destination IP of 10.168.168.103.,tenatname:D0034 AND trgip:10.168.168.103
Find anomaly events with severity 4 from Fortinet Fortigate devices in tenant D0034 that originate from IP 65.181.89.218.,"tenantname:D0034 AND pname:""Fortinet Fortigate"" AND sev:4 AND evt:Anomaly  AND srcip:65.181.89.218"
"Identifies security events for tenant D0034 from source IP 106.15.76.254 where the process name is Sangfor_CyberCommand, and excludes events classified as nfw.",tenantname:D0034 AND NOT taxevtst:nfw AND srcip:106.15.76.254 AND pname:Sangfor_CyberCommand
"Finds security events for tenant D0034 with severity 4, while excluding a wide range of common or known event categories to surface unexpected or suspicious activity not covered by those categories.","tenantname:D0034 AND sev:4 AND (NOT evt:""HEAD method with 404 Not Found"") AND (NOT evt:ErtFeed) AND (NOT evt:""DNS Tunneling Communication"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:Intrusions) AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:Anomaly) AND (NOT evt:""Unauthorized HTTP Method"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""GET method with 404 Not Found"") AND (NOT evt:""Access denied due to malicious request"") AND (NOT evt:""A LiveUpdate session encountered errors"")"
Find Fortinet FortiGate logs for tenant D0034 while excluding a broad range of routine/non-security events to surface potentially security-relevant activity.,"tenantname:D0034 AND pname:""Fortinet Fortigate"" AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:""DNS Query"") AND (NOT evt:""System performance statistics"") AND (NOT evt:""SNMP query failed"") AND (NOT evt:""FortiGuard hostname unresolvable"") AND (NOT evt:""Domain is monitored"") AND (NOT evt:""A rating error occurs"") AND (NOT evt:""Threat feed update failed"") AND (NOT evt:""SSL VPN statistics"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""DHCP statistics"") AND (NOT evt:Anomaly) AND (NOT evt:""Security Rating summary"") AND (NOT evt:""Scanunit reloaded AV Database"") AND (NOT evt:""SSL VPN exit error"") AND (NOT evt:""Admin logout successful"") AND (NOT evt:""Admin login successful"") AND (NOT evt:""Progress IPsec phase 2"") AND (NOT evt:""FortiGate update succeeded"") AND (NOT evt:""FortiGate update failed"") AND (NOT evt:""Dynamic address updated"") AND (NOT evt:""Automation stitch triggered"") AND (NOT evt:""Threat feed updated"") AND (NOT evt:""Synchronization status with primary"") AND (NOT evt:""SSL VPN alert"") AND (NOT evt:""HA secondary synchronized FLDB"") AND (NOT evt:""Domain name of alert email sender unresolvable"")"
"Pull logs for tenant D0034 from Juniper SRX Firewall regardless of source country, excluding any events coming from source IP 218.253.210.52.","tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND srccountry:* AND NOT srcip:218.253.210.52"
Filters logs to show events where the source IP is in the 192.168.84.x private address range., srcip:192.168.84
